"product_id";"name";"required_initial";"Nombre Corregido";"Precio Estimado (USD)";"Descripcion"
1;"REPUJADOR TITANIO BISTURI";0;"Repujador de Cutícula de Titanio (Tipo Bisturí)";"3.50";"Herramienta de manicura de titanio con un extremo para empujar cutículas y otro afilado tipo bisturí para limpieza precisa."
2;"COLA SIRENA FIGURA PASTILLERO";0;"Decoración para Uñas 'Cola de Sirena' (en Pastillero)";"2.50";"Set de glitter y figuras iridiscentes que imitan las escamas de una cola de sirena, presentadas en un organizador tipo pastillero."
3;"FLAKE HEXAGON SIRENA PASTILLERO";0;"Flakes Hexagonales 'Sirena' (en Pastillero)";"2.50";"Hojuelas (flakes) de forma hexagonal con efecto tornasolado, para encapsular en uñas de gel o acrílico."
4;"EFECTO AURORA SHELL ORIGINAL";0;"Polvo para Uñas - Efecto Aurora (Shell)";"3.00";"Polvo fino que se frota sobre el esmalte para crear un acabado perlado y multicromático, similar al interior de una concha marina."
5;"SWAROSVKI AB TORNASOL SS03";0;"Cristales Swarovski AB (Tornasol) SS03";"5.00";"Cristales Swarovski originales de tamaño SS03 con efecto 'Aurora Boreal' (AB), que refleja m��ltiples colores."
6;"PASTILLERO NATURALEZA MUERTAS";0;"Decoración para Uñas 'Naturaleza Muerta' (en Pastillero)";"3.00";"Set de pequeñas flores y hojas secas y prensadas para encapsular en diseños de uñas."
7;"TIJERITA FINA PUNTA CURVA";0;"Tijera de Manicura (Punta Fina y Curva)";"2.50";"Tijera pequeña y precisa con puntas curvas, ideal para cortar cutículas o dar forma a las uñas con detalle."
8;"EFECTO ESPEJO SHROMER 22 COLORES";0;"Polvo Efecto Espejo (Chrome) - Kit 22 Colores";"20.00";"Set de 22 pigmentos en polvo que se frotan sobre el esmalte para crear un acabado metálico similar a un espejo."
9;"GEL 6 EN 1 REFORZAMIENTO";0;"Gel Reforzador para Uñas 6 en 1";"9.00";"Gel multifuncional que sirve como base, reforzador, nivelador, constructor, top coat y para adherir decoraciones."
10;"REMOVEDOR ACRILICO IBD 120ML";0;"Removedor de Acrílico IBD (120 ml)";"8.00";"Líquido profesional de la marca IBD para disolver y remover uñas acrílicas de forma segura."
11;"ORGANIZADOR BARBERO";0;"Organizador de Herramientas de Barbería";"15.00";"Estación o bandeja con compartimentos para organizar máquinas, peines, tijeras y otras herramientas de barbero."
12;"ACEITE WAHL ORIGINA 118 ML";0;"Aceite Lubricante para Máquinas Wahl (118 ml)";"6.00";"Aceite original de la marca Wahl para lubricar y mantener las cuchillas de las máquinas de cortar cabello."
13;"ESMALTE SEM PERM TIFFANY 10ML";0;"Esmalte Semipermanente Tiffany (10 ml)";"4.00";"Esmalte de uñas en gel de la marca Tiffany que requiere curado en lámpara UV/LED."
14;"CAPA CORTE IMPRESIñN DIGITAL";0;"Capa de Corte con Impresión Digital";"10.00";"Capa de peluquería fabricada con tela que presenta diseños o patrones impresos digitalmente."
15;"WMARK AFEITA INLAMB NG 115";0;"Afeitadora Inalámbrica WMARK NG-115";"25.00";"Máquina de afeitar eléctrica e inalámbrica de la marca WMARK, modelo NG-115, para un rasurado al ras."
16;"WMARK AFEITA INLAMB NG 1407";0;"Afeitadora Inalámbrica WMARK NG-1407";"28.00";"Máquina de afeitar eléctrica e inalámbrica de la marca WMARK, modelo NG-1407."
17;"NAVAJA METALICA DECORADA BARBERIA";0;"Navaja de Afeitar Decorada para Barbería";"8.00";"Navaja de barbero con mango metálico y diseños grabados, para uso con cuchillas desechables."
18;"CUELLERO COLOR RO- VER- AZUL";0;"Dispensador de Bandas para Cuello (Cuellero)";"5.00";"Dispensador de plástico para las bandas de papel que se colocan en el cuello antes del corte de cabello."
19;"JUEGO DE TIJERA BARBERIA KASHO";0;"Juego de Tijeras de Barbería Kasho";"30.00";"Set de tijeras de la marca Kasho, que usualmente incluye una tijera de corte y una de entresacar."
20;"JUEGO DE TIJERA BARBERIA ZD-6";0;"Juego de Tijeras de Barbería ZD-6";"25.00";"Set de tijeras de barbería, modelo ZD-6, que incluye tijera de corte y de entresacar."
21;"ACEITE AEROSOL SALON CLIP 5 EN 1";0;"Aceite en Aerosol 5 en 1 para Máquinas (Salon Clip)";"7.00";"Aerosol multifuncional que lubrica, enfría, limpia, desinfecta y previene la oxidación de las cuchillas."
22;"CERA AROMA POMADE SALON CLIP L";0;"Cera-Pomada para Cabello Salon Clip (Aroma)";"8.00";"Pomada para peinar el cabello con fijación y aroma, de la línea Salon Clip."
23;"POLVO TEXTURE 20GRS";0;"Polvo Texturizador para Cabello (20 gr)";"5.00";"Polvo voluminizador que se aplica en el cabello seco para dar textura, cuerpo y un acabado mate."
24;"CRA IKT WAX 75GRS";0;"Cera para Cabello 'Craft Wax' (75 gr)";"6.00";"Cera de modelado para el cabello, probablemente 'Craft Wax', para peinados con fijación flexible."
25;"ESMALTE SUPER WHITE TIFFANY 15";0;"Esmalte Súper Blanco Tiffany (15 ml)";"4.00";"Esmalte de color blanco de alta pigmentación de la marca Tiffany, ideal para bases o punta francesa."
26;"PINCEL FIFFANY LINER MORADO 11";0;"Pincel Liner Tiffany #11 (Morado)";"2.00";"Pincel fino y largo para nail art de la marca Tiffany, número 11, con mango morado."
27;"DELANTAL CUERO BARBERO SHOP";0;"Delantal de Cuero para Barbero";"20.00";"Delantal resistente de cuero o imitación, diseñado para proteger la ropa del barbero."
28;"AFEITADORA INALM KEMEI KM-2278";0;"Afeitadora Inalámbrica Kemei KM-2278";"22.00";"Máquina de afeitar eléctrica e inalámbrica de la marca Kemei, modelo KM-2278."
29;"SHVIN GEL SALON CLIP 500 ML";0;"Gel de Afeitar 'Shaving Gel' Salon Clip (500 ml)";"9.00";"Gel transparente para afeitar que permite ver la zona a rasurar, ideal para perfilar."
30;"AFTERSHAVE COLOGNE SALON CLIP";0;"Colonia Aftershave Salon Clip";"7.00";"Loción para después del afeitado de la línea Salon Clip, con propiedades refrescantes y fragancia."
31;"AFEITADORA INALM KEMEI KM-2629";0;"Afeitadora Inalámbrica Kemei KM-2629";"24.00";"Máquina de afeitar eléctrica e inalámbrica de la marca Kemei, modelo KM-2629."
32;"PESTAñA CRUZADA TIFFANY LASH";0;"Pestañas Postizas Tiffany (Efecto Cruzado)";"2.50";"Pestañas en tira de la marca Tiffany con un patrón de pelos entrecruzados para mayor volumen."
33;"PINZA SEPARADORA 12PCS";0;"Pinzas Separadoras de Cabello (Paquete 12 uds)";"4.00";"Paquete de 12 pinzas de plástico o metal para sujetar secciones de cabello durante el corte o peinado."
34;"LIMA TIFFANY NAIL 100/180";1;"Lima de Uñas Tiffany (Grano 100/180)";"1.50";"Lima de uñas de la marca Tiffany con dos granos: 100 (más abrasivo) y 180 (más suave)."
35;"PEINE NEGRO TONY&GUY";0;"Peine de Corte Tony&Guy (Negro)";"3.00";"Peine profesional de corte de la marca Tony&Guy, de color negro y resistente."
36;"COLA SIRENA 10 ML";0;"Glitter para Uñas 'Cola de Sirena' (10 ml)";"2.00";"Frasco de 10 ml con glitter iridiscente para decoración de uñas."
37;"PEINE WHAL CORTE NEGRA 166";0;"Peine de Corte Wahl #166 (Negro)";"2.50";"Peine de corte de la marca Wahl, modelo 166, de color negro."
38;"TRIMMER INAL T9 BLACK GOLD";0;"Trimmer Inalámbrico T9 (Negro y Dorado)";"18.00";"Máquina de contornos (patillera) inalámbrica, modelo T9, con diseño en negro y dorado."
39;"BROCHA REDONDA GRANDE";0;"Brocha Redonda Grande para Polvo";"6.00";"Brocha de maquillaje grande y de cerdas suaves, ideal para aplicar polvos faciales."
40;"CEPILLO CLIPER WHAL BRUSH";0;"Cepillo de Limpieza para Máquinas Wahl (Clipper Brush)";"2.00";"Cepillo pequeño con cerdas firmes para limpiar los restos de cabello de las cuchillas de las máquinas."
41;"FINIS GEL UV TIFFANY 10ML";13;"Finish Gel UV Tiffany (10 ml)";"4.50";"Gel de acabado de la marca Tiffany que requiere curado en lámpara UV/LED para un brillo duradero."
42;"WATERCOLOR TINTA AGUA";0;"Tintas de Acuarela para Nail Art (Water Color)";"2.50";"Tintas líquidas de acuarela especiales para 'nail art', que crean efectos de color translúcidos y difuminados."
43;"REPUJADOR METAL LANZA";0;"Empujador de Cutícula de Metal con Lanza";"3.00";"Herramienta de manicura de metal con un extremo para empujar la cutícula y otro en forma de lanza para limpiar."
44;"ESMALTE PLATNIUM TIFFANY";0;"Esmalte Platinum Tiffany";"5.00";"Esmalte de la marca Tiffany con alta concentración de glitter o shimmer para un acabado tipo platino."
45;"LIMAS SPONGIE";0;"Limas Pulidoras (Spongie)";"1.00";"Limas de uñas con superficie acolchada (esponja) y grano fino, para pulir y dar brillo a la uña."
46;"SILICONA CABELLO PERFUMADO";0;"Silicona Perfumada para Cabello";"4.00";"Sérum a base de silicona que aporta brillo, suavidad y un agradable aroma al cabello."
47;"CARRUSEL BALINES";6;"Carrusel de Balines para Uñas";"2.00";"Contenedor giratorio (carrusel) con balines de diferentes colores o tamaños para decoración de uñas."
48;"GAZA DE UñAS TIFFANY 100";0;"Gasas Limpiadoras para Uñas Tiffany (100 uds)";"3.00";"Paquete de 100 toallitas o gasas sin pelusa para limpiar las uñas durante la manicura."
49;"LAMPARA JELLY CANGURO";1;"Lámpara LED Portátil 'Jelly Canguro'";"10.00";"Lámpara de curado LED pequeña y portátil, con un diseño flexible tipo 'canguro' para curar uñas individuales o tips."
50;"PESTAñAS NAGUARAKU";5;"Extensiones de Pestañas Nagaraku";"7.00";"Caja de extensiones de pestañas de la marca Nagaraku, para técnica pelo a pelo o volumen."
51;"EFECTO MOOLTGHT POWER";0;"Polvo para Uñas - Efecto 'Moonlight'";"2.50";"Polvo fino o pigmento para uñas que crea un acabado iridiscente o perlado, similar al reflejo de la luna."
52;"PESTAñAS POR PELOS COLORES";4;"Extensiones de Pestañas Pelo a Pelo (Colores)";"6.00";"Set de pestañas individuales en diversos colores para crear looks de fantasía con extensiones."
53;"PESTAñAS CUADRADO TIFFANY L";0;"Pestañas Postizas Tiffany (Modelo Cuadrado)";"2.50";"Pestañas en tira de la marca Tiffany, probablemente con un estilo de fibras rectas que da un efecto cuadrado."
54;"UñAS TIFANY JELLY C";0;"Tips de Soft Gel Tiffany (Curva C)";"6.00";"Puntas de uña postiza de gel suave (soft gel) de la marca Tiffany con una pronunciada 'Curva C'."
55;"PEINETAS DE CORONA";0;"Peinetas Decorativas (Diseño Corona)";"3.00";"Accesorio para el cabello en forma de peineta con una decoración de corona."
56;"PULSERA DE OJITOS";0;"Pulsera de Ojos Turcos";"2.00";"Pulsera con dijes en forma de 'ojo turco', usada como amuleto."
57;"GANCHETAS METALICAS";0;"Ganchos Metálicos para Cabello";"1.50";"Ganchos o pinzas de metal para sujetar el cabello."
58;"OLAPLEX ACONDICIONADOR";0;"Acondicionador Olaplex";"15.00";"Acondicionador de la marca Olaplex que ayuda a reparar, hidratar y desenredar el cabello."
59;"BAñO DE CREMA OLAPLEX 500G";0;"Tratamiento Capilar Olaplex (500 gr)";"18.00";"Tratamiento capilar intensivo de la marca Olaplex en presentación de 500 gramos."
60;"UñAS COFIN TIFANY CLEAR";0;"Tips para Uñas Tiffany (Forma Coffin, Transparentes)";"10.00";"Caja con tips de uña postiza transparentes de la marca Tiffany, con forma 'coffin'."
61;"CRISTAL PASTILLERO 2X2";0;"Cristales para Uñas (en Pastillero 2x2)";"2.00";"Set de cristales para decoración de uñas en un organizador de 4 compartimentos."
62;"RUBBER BASE TIFANY NAIL 10ML";0;"Base Rubber Tiffany (10 ml)";"12.00";"Base de gel (rubber base) de la marca Tiffany, de consistencia espesa para aportar resistencia."
63;"PINCEL ACRILICO MANGO MADERA";0;"Pincel para Acrílico (Mango de Madera)";"4.00";"Pincel para la construcción de uñas acrílicas con un mango de madera."
64;"TIJERA CORTE KASHO JAP";0;"Tijera de Corte Kasho (Japonesa)";"35.00";"Tijera de peluquería de alta gama de la marca Kasho, de fabricación japonesa."
65;"CALENTADOR CERA";0;"Olla Calentadora de Cera";"15.00";"Calentador eléctrico para derretir cera depilatoria en lata o granulada."
66;"NAVAJA ACERO INOX SALON CLIUP";1;"Navaja de Acero Inoxidable Salon Clip";"3.50";"Navaja de barbero de acero inoxidable de la marca Salon Clip."
67;"CARRUSEL BALINES MIXTOS";6;"Carrusel de Balines para Uñas (Mixto)";"2.00";"Contenedor giratorio con balines de diferentes colores o tamaños para decoración de uñas."
68;"PUNTEROD 5PCS";0;"Set de 5 Punteros para Nail Art (Dotting Tools)";"2.50";"Juego de 5 herramientas para nail art con puntas esféricas de diferentes tamaños."
69;"BASE COAT TIFFANY NAIL 10ML";2;"Base Coat Tiffany (10 ml)";"4.00";"Capa base de la marca Tiffany para proteger la uña y mejorar la adherencia del esmalte."
70;"TOP CUAT TIFFANY NAIL 10ML";0;"Top Coat Tiffany (10 ml)";"4.00";"Capa final (sellador) de la marca Tiffany para proteger el esmalte y dar un acabado brillante."
71;"REPUJADOR PARA REMOVER ESMALTE";0;"Empujador de Cutícula (Removedor de Esmalte)";"3.00";"Herramienta de metal, a menudo con punta triangular, para ayudar a retirar el esmalte semipermanente ablandado."
72;"FINISH GEL UV TIFFANY NAILS 10ML";0;"Finish Gel UV Tiffany (10 ml) (Duplicado)";"4.50";"Gel de acabado de la marca Tiffany que requiere curado en lámpara UV/LED para un brillo duradero."
73;"DREMEL INALAMBRICO";1;"Torno de Uñas Inalámbrico";"35.00";"Torno o pulidor de uñas eléctrico e inalámbrico para manicura y pedicura profesional."
74;"NAIL PRE NIVELADORA TIFFANY";0;"Nail Prep Nivelador de pH Tiffany";"4.00";"Preparador de la marca Tiffany que deshidrata la uña y nivela el pH para una mejor adhesión de productos."
75;"GEL SPIDER SINGOIAO 18ML";0;"Spider Gel para Nail Art (18 ml)";"5.00";"Gel para 'nail art' de alta viscosidad que permite crear líneas finas y rectas como telarañas."
76;"TOP COAT REFLETIVE GLI TIFFANY";0;"Top Coat Reflective Glitter Tiffany";"5.00";"Top coat con partículas de glitter reflectivo que brillan intensamente con la luz directa o el flash."
