"Producto","Precio Estimado (USD)","Descripcion"
"GLITER BASE","8.00","Base cremosa que sirve como adhesivo para fijar glitter y pigmentos a la piel, asegurando una larga duración."
"MAXGLOW CONFETI VARIADOS","5.00","Esmalte de uñas semipermanente con partículas de colores y tamaños variados que crean un efecto de confeti."
"PROTEIN BOND","3.50","Preparador que garantiza la adherencia de acrílico o esmaltes, nivelando el pH de la uña y aportando nutrientes."
"BASE GEL","8.00","Capa base que se aplica sobre la uña natural para protegerla y mejorar la adherencia y duración del esmalte en gel."
"GEL NIVELADOR","12.33","Gel de consistencia espesa (rubber base) que fortalece, protege y corrige imperfecciones de la uña natural."
"JELLI BUILDER","12.58","Gel constructor con consistencia de gelatina, usado para esculpir, modelar y reforzar uñas, ideal para sistemas Jelly Tips."
"FINISH GEL","7.50","Capa final o sellador para esmaltado en gel, que proporciona un acabado brillante, protege el color y previene el desgaste."
"GEL 3 EN 1","8.00","Esmalte en gel que combina base, color y top coat en un solo paso, simplificando la manicura semipermanente."
"ESMALTE MAXGLOW CHRISTAMS","4.00","Colección de esmaltes semipermanentes Maxglow con colores y acabados inspirados en la temática navideña."
"ACEITE DE CUTICULA MAX","2.50","Aceite hidratante para nutrir y suavizar la piel alrededor de las uñas, promoviendo cutículas sanas."
"REMOVEDOR DE CUTICULA MAX","3.00","Líquido o gel que ablanda y facilita la eliminación del exceso de cutícula de forma suave y sin cortes."
"REMOVEDOR DE CUTICULA MOMBRAY","3.00","Producto específico de la marca Mombray para ablandar y remover el exceso de tejido de la cutícula."
"GEL REMOVEDOR MAXGLOW ROSADO","6.00","Gel para remover esmalte semipermanente, usualmente con una fórmula que es suave con la uña y la piel."
"REMOVEDOR MAXGLOW MARRON","6.00","Removedor de esmalte semipermanente de la marca Maxglow, posiblemente con una fragancia o característica distintiva."
"PEGA FOIL","3.00","Adhesivo especial para transferir el papel foil decorativo a las uñas, creando efectos metalizados y holográficos."
